>> exampleexperiment
  f1 in 2-D, instance 1: FEs=40 with 0 restarts, fbest-ftarget=5.0451e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 2: FEs=40 with 0 restarts, fbest-ftarget=5.1550e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 3: FEs=40 with 0 restarts, fbest-ftarget=9.5410e-02, elapsed time [h]: 0.00
  f1 in 2-D, instance 4: FEs=40 with 0 restarts, fbest-ftarget=5.4325e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 5: FEs=40 with 0 restarts, fbest-ftarget=3.4650e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 6: FEs=40 with 0 restarts, fbest-ftarget=3.4005e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 7: FEs=40 with 0 restarts, fbest-ftarget=1.8232e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 8: FEs=40 with 0 restarts, fbest-ftarget=1.1638e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 9: FEs=40 with 0 restarts, fbest-ftarget=7.8251e-02, elapsed time [h]: 0.00
  f1 in 2-D, instance 10: FEs=40 with 0 restarts, fbest-ftarget=2.0259e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 11: FEs=40 with 0 restarts, fbest-ftarget=1.4783e-03, elapsed time [h]: 0.00
  f1 in 2-D, instance 12: FEs=40 with 0 restarts, fbest-ftarget=4.7404e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 13: FEs=40 with 0 restarts, fbest-ftarget=1.6945e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 14: FEs=40 with 0 restarts, fbest-ftarget=3.5876e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 15: FEs=40 with 0 restarts, fbest-ftarget=3.6946e-01, elapsed time [h]: 0.00
      date and time: 2021    3   30   10   52   54
  f2 in 2-D, instance 1: FEs=40 with 0 restarts, fbest-ftarget=6.6835e+02, elapsed time [h]: 0.00
  f2 in 2-D, instance 2: FEs=40 with 0 restarts, fbest-ftarget=9.8571e+02, elapsed time [h]: 0.00
  f2 in 2-D, instance 3: FEs=40 with 0 restarts, fbest-ftarget=5.6655e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 4: FEs=40 with 0 restarts, fbest-ftarget=3.6083e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 5: FEs=40 with 0 restarts, fbest-ftarget=1.3440e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 6: FEs=40 with 0 restarts, fbest-ftarget=6.1011e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 7: FEs=40 with 0 restarts, fbest-ftarget=4.6700e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 8: FEs=40 with 0 restarts, fbest-ftarget=1.8680e+02, elapsed time [h]: 0.00
